RBP	miRNA	mean_percent	total_percent	average
LIN28B	hsa-let-7c	5.98760669935047	7.75862068965517	6.87311369450282
LIN28B	hsa-let-7d	10.6163261412372	9.05172413793103	9.8340251395841
LIN28B	hsa-let-7e	1.88968801068445	3.01724137931034	2.4534646949974
LIN28B	hsa-let-7f-1	10.127603713013	10.3448275862069	10.2362156496099
LIN28B	hsa-let-7f-2	4.48046022779119	3.87931034482759	4.17988528630939
LIN28B	hsa-let-7g	5.9965034965035	3.87931034482759	4.93790692066554
LIN28B	hsa-let-7i	10.4377473060747	7.32758620689655	8.88266675648563
LIN28B	hsa-mir-98	10.6317348132295	8.4051724137931	9.51845361351129
LIN28B	hsa-mir-1-1	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-1-2	0.474495848161329	0.862068965517241	0.668282406839285
LIN28B	hsa-mir-7-1	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-7-2	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-7-3	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-9-1	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-9-2	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-9-3	0	0	0
LIN28B	hsa-mir-10b	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-15a	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-15b	0	0	0
LIN28B	hsa-mir-16-1	0	0	0
LIN28B	hsa-mir-16-2	0	0	0
LIN28B	hsa-mir-17	0	0	0
LIN28B	hsa-mir-18a	0	0	0
LIN28B	hsa-mir-18b	0	0	0
LIN28B	hsa-mir-19a	0	0	0
LIN28B	hsa-mir-19b-1	1.42348754448399	2.58620689655172	2.00484722051785
LIN28B	hsa-mir-19b-2	0	0	0
LIN28B	hsa-mir-20a	0	0	0
LIN28B	hsa-mir-20b	0	0	0
LIN28B	hsa-mir-21	0	0	0
LIN28B	hsa-mir-25	0.474495848161329	0.862068965517241	0.668282406839285
LIN28B	hsa-mir-29a	2.97449584816133	1.50862068965517	2.24155826890825
LIN28B	hsa-mir-29b-1	3.44069631436179	1.93965517241379	2.69017574338779
LIN28B	hsa-mir-29b-2	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-29c	0	0	0
LIN28B	hsa-mir-31	0.474495848161329	0.862068965517241	0.668282406839285
LIN28B	hsa-mir-34a	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-34b	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-34c	0	0	0
LIN28B	hsa-mir-92a-1	0	0	0
LIN28B	hsa-mir-92a-2	0.830367734282325	1.50862068965517	1.16949421196875
LIN28B	hsa-mir-93	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-106a	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-106b	0.474495848161329	0.862068965517241	0.668282406839285
LIN28B	hsa-mir-107	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-122	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-128-1	0.474495848161329	0.862068965517241	0.668282406839285
LIN28B	hsa-mir-128-2	0	0	0
LIN28B	hsa-mir-138-1	0	0	0
LIN28B	hsa-mir-138-2	0	0	0
LIN28B	hsa-mir-140	0	0	0
LIN28B	hsa-mir-141	0	0	0
LIN28B	hsa-mir-143	0.474495848161329	0.862068965517241	0.668282406839285
LIN28B	hsa-mir-145	0.466200466200466	0.431034482758621	0.448617474479543
LIN28B	hsa-mir-155	0	0	0
LIN28B	hsa-mir-199a-1	0	0	0
LIN28B	hsa-mir-199a-2	0	0	0
LIN28B	hsa-mir-200a	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-200b	0	0	0
LIN28B	hsa-mir-200c	0	0	0
LIN28B	hsa-mir-205	0.474495848161329	0.862068965517241	0.668282406839285
LIN28B	hsa-mir-206	0.237247924080664	0.431034482758621	0.334141203419642
LIN28B	hsa-mir-214	0	0	0
LIN28B	hsa-mir-221	0.355871886120996	0.646551724137931	0.501211805129464
LIN28B	hsa-mir-222	0	0	0
LIN28B	hsa-mir-363	0	0	0
LIN28B	hsa-mir-429	1.06761565836299	1.93965517241379	1.50363541538839
LIN28B	hsa-mir-451	0	0	0
ZCCHC11	hsa-let-7a-1	2.26337448559671	5.41871921182266	3.84104684870968
ZCCHC11	hsa-let-7a-2	17.8362573099415	20.1970443349754	19.0166508224584
ZCCHC11	hsa-let-7a-3	0	0	0
ZCCHC11	hsa-let-7b	0	0	0
ZCCHC11	hsa-let-7c	13.796837773446	26.6009852216749	20.1989114975604
ZCCHC11	hsa-let-7d	1.02880658436214	2.46305418719212	1.74593038577713
